App Name,Domain,Count
CrowdEvolution,doubleverify.com,112
CrowdEvolution,innovid.com,14
CrowdEvolution,gstatic.com,56
CrowdEvolution,bytegoofy.com,1
CrowdEvolution,adsmoloco.com,20
CrowdEvolution,adjust.com,22
CrowdEvolution,appsflyer.com,3
CrowdEvolution,pubmatic.com,3
CrowdEvolution,bidswitch.net,1
CrowdEvolution,2mdn.net,18
CrowdEvolution,3lift.com,4
CrowdEvolution,demdex.net,2
Clever,apple.com,78
Clever,facebook.com,13
Clever,mzstatic.com,33
Clever,doubleclick.net,318
Clever,adsmoloco.com,23
Clever,googlesyndication.com,105
Clever,gstatic.com,27
Clever,rtbrain.app,28
Clever,googletagservices.com,1
Clever,mixpanel.com,4
Clever,googleusercontent.com,3
Clever,unity3d.com,53
Clever,adjust.com,1
Clever,googleadservices.com,2
Clever,doubleverify.com,68
Clever,casalemedia.com,4
Clever,adnxs.com,4
Clever,2mdn.net,32
Clever,openx.net,4
Clever,teads.tv,3
Clever,googlevideo.com,1
Clever,tremorhub.com,1
Clever,cloudflare.com,1
Clever,yahoo.com,2
Clever,stickyadstv.com,3
Clever,smartadserver.com,3
DraftKings,googletagmanager.com,1
DraftKings,apple.com,1
DraftKings,braze.com,6
DraftKings,singular.net,3
DraftKings,doubleclick.net,1
DraftKings,google.com,1
DraftKings,gstatic.com,3
DraftKings,sportradar.com,80
MyHotel,facebook.com,7
MyHotel,apple.com,4
MyHotel,unity3d.com,53
MyHotel,amazon-adsystem.com,3
MyHotel,ibytedtos.com,1
MyHotel,doubleclick.net,9
MyHotel,ssacdn.com,7
MyHotel,mzstatic.com,1
MyHotel,smaato.net,1
WeatherRadar,apple.com,9
WeatherRadar,kochava.com,1
WeatherRadar,googletagmanager.com,1
WeatherRadar,google-analytics.com,2
WeatherRadar,qq.com,11
WeatherRadar,gtimg.cn,1
Elevate,facebook.com,3
Elevate,apple.com,5
Elevate,singular.net,1
Elevate,braze.com,13
Elevate,espn.com,1
ParkMobile,apple.com,180
ParkMobile,launchdarkly.com,5
ParkMobile,mixpanel.com,3
ParkMobile,branch.io,6
ParkMobile,braze.com,4
ParkMobile,braze-images.com,10
ParkMobile,browser-intake-datadoghq.com,2
ParkMobile,unpkg.com,3
ParkMobile,icomoon.io,2
ParkMobile,hs-scripts.com,1
ParkMobile,googletagmanager.com,3
ParkMobile,onetrust.com,9
ParkMobile,mxpnl.com,2
ParkMobile,visualwebsiteoptimizer.com,2
ParkMobile,gstatic.com,1
ParkMobile,hotjar.com,2
ParkMobile,google-analytics.com,2
ParkMobile,cookielaw.org,6
ParkMobile,hs-banner.com,1
ParkMobile,hs-analytics.net,1
ParkMobile,google.com,4
ParkMobile,doubleclick.net,4
ParkMobile,newrelic.com,2
ParkMobile,hubspot.com,1
ParkMobile,nr-data.net,1
ParkMobile,appboycdn.com,1
ParkMobile,fontawesome.com,2
